aspect,positive,negative,neutral
Anne Memnuniyeti,0.9117647058823529,0.0,0.08823529411764706
Fiyat-Performans,0.975,0.025,0.0
Genel Begeni,0.9487179487179487,0.0,0.05128205128205128
Genel Memnuniyet / Diger,0.9327731092436975,0.046218487394957986,0.02100840336134454
Hediye / Anne,0.9695121951219512,0.0,0.03048780487804878
Indirim / Fiyat,0.90625,0.03125,0.0625
Kapasite / Aile Uygunlugu,0.9285714285714286,0.0,0.07142857142857142
Kargo ve Paketleme,0.9722222222222222,0.0,0.027777777777777776
Kullanim Memnuniyeti,0.9607843137254902,0.0,0.0392156862745098
Pisirme Performansi,0.9166666666666666,0.052083333333333336,0.03125
Tavsiye / Genel Memnuniyet,1.0,0.0,0.0
Tesekkur / Memnuniyet,0.9876543209876543,0.0,0.012345679012345678
